ALTN	ALTYN PLC	ORD 0.1P	GB00B015PT76	SHRS	Shares	Basic Materials	Basic Resources	10/06/2004	United Kingdom	GBX	MAIN MARKET	Standard Shares	SET3	ON15
ALU	ALUMASC GROUP PLC	ORD 12.5P	GB0000280353	SHRS	Shares	Industrials	Construction & Materials	15/02/2000	United Kingdom	GBX	MAIN MARKET	Premium Equity Commercial Companies	SSQ3	SQQ3
78QZ	ALUMINIUM BAHRAIN B.S.C.	GDR (EACH REPR 1/5 ORD) (144A)	US0222081020	DPRS	Depositary receipts	Basic Materials	Basic Resources	30/11/2010	Bahrain	USD	MAIN MARKET	Standard GDRs	MISC	INTM
ALBH	ALUMINIUM BAHRAIN B.S.C.	GDR (EACH REPR 1/5 ORD) (REG S)	US0222082010	DPRS	Depositary receipts	Basic Materials	Basic Resources	30/11/2010	Bahrain	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
AMAT	AMATI AIM VCT PLC	ORD 5P	GB00B641BB82	SHRS	Shares	Financials	Financial Services	10/11/2011	United Kingdom	GBX	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSQ3	SQQ3
AA4	AMEDEO AIR FOUR PLUS LIMITED	RED ORD NPV	GG00BWC53H48	SHRS	Shares	Industrials	Industrial Goods & Services	13/05/2015	Guernsey	GBX	MAIN MARKET - SFS		SFM2	SFQQ
AMED	AMEDEO RESOURCES PLC	ORD 10P	GB00BZ0XVY42	SHRS	Shares	Financials	Financial Services	01/07/2015	United Kingdom	GBX	AIM		ASX1	AIMP
87SD	AMER GROUP HOLDING COMPANY S.A.E	GDR (EACH REPR 200 ORD) (144A)	US0235111087	DPRS	Depositary receipts	Financials	Real Estate	06/10/2017	Egypt	USD	ADMISSION TO TRADING ONLY		MISC	INAD
AMGR	AMER GROUP HOLDING COMPANY S.A.E	GDR (EACH REPR 200 ORD) (REG S)	US0235112077	DPRS	Depositary receipts	Financials	Real Estate	06/10/2017	Egypt	USD	ADMISSION TO TRADING ONLY		IOBU	INLN
AMER	AMERISUR RESOURCES PLC	ORD 0.1P	GB0032087826	SHRS	Shares	Oil & Gas	Oil & Gas	29/07/2004	United Kingdom	GBX	AIM		AMSM	ASM6
AFS	AMIAD WATER SYSTEMS LTD	ORD ILS0.5	IL0010943905	SHRS	Shares	Industrials	Industrial Goods & Services	05/12/2005	Israel	GBX	AIM		ASX1	AIMP
AMGO	AMIGO HOLDINGS PLC	ORD 0.25P	GB00BFFK8T45	SHRS	Shares	Financials	Financial Services	04/07/2018	United Kingdom	GBX	MAIN MARKET	Premium Equity Commercial Companies	STMM	F25T
AEX	AMINEX PLC	ORD EUR0.001	IE0003073255	SHRS	Shares	Oil & Gas	Oil & Gas	16/09/1996	Ireland	GBX	MAIN MARKET	Premium Equity Commercial Companies	SSQ3	SQQ3
AMO	AMINO TECHNOLOGIES PLC	ORD 1P	GB00B013SN63	SHRS	Shares	Technology	Technology	19/12/2005	United Kingdom	GBX	AIM		ASQ1	AMQ1
AMP	AMPHION INNOVATIONS PLC	ORD 1P	GB00B0DJNP99	SHRS	Shares	Financials	Financial Services	20/03/2007	Isle of Man	GBX	AIM		ASX1	AIMP
AMYT	AMRYT PHARMA PLC	ORD 1P	GB00BDD1LS57	SHRS	Shares	Health Care	Health Care	19/04/2016	United Kingdom	GBX	AIM		ASQ1	AMQ1
AMKD	AMTEK AUTO LD	GDR (EACH REPR 2 ORD INR2)(REG S)	US03233Q1058	DPRS	Depositary receipts	Consumer Goods	Automobiles & Parts	18/11/2004	India	USD	MAIN MARKET	Standard GDRs	IOBU	LLLN
AIND	AMUNDI ETF	AMUNDI ETF MSCI EUROPE INDUSTRIALS	FR0010688218	ETFS	ETFs	Financials	Financial Services	07/06/2011	France	GBX	MAIN MARKET		ETFS	ETEU
ANRJ	AMUNDI ETF	AMUNDI ETF MSCI EUROPE ENERGY UCITS ETF	FR0010930644	ETFS	ETFs	Financials	Financial Services	07/06/2011	France	GBX	MAIN MARKET		ETFS	ETEU
C8M	AMUNDI ETF	AMUNDI ETF MSCI EUROPE MATERIALS	FR0010791137	ETFS	ETFs	Financials	Financial Services	07/06/2011	France	GBX	MAIN MARKET		ETFS	ETEU
CB5	AMUNDI ETF	AMUNDI ETF MSCI EUROPE BANKS UCITS ETF	FR0010688176	ETFS	ETFs	Financials	Financial Services	07/06/2011	France	GBX	MAIN MARKET		ETFS	ETEU
CD6	AMUNDI ETF	AMUNDI ETF MSCI EUROPE CONSUMER DISC	FR0010688184	ETFS	ETFs	Financials	Financial Services	07/06/2011	France	GBX	MAIN MARKET		ETFS	ETEU
CG1	AMUNDI ETF	AMUNDI ETF DAX UCITS ETF DR	FR0010655712	ETFS	ETFs	Financials	Financial Services	09/05/2011	France	GBX	MAIN MARKET		ETFS	ETEU
CH5	AMUNDI ETF	AMUNDI ETF MSCI EUROPE HEALTHCARE	FR0010688192	ETFS	ETFs	Financials	Financial Services	07/06/2011	France	GBX	MAIN MARKET		ETFS	ETEU
CI1	AMUNDI ETF	AMUNDI ETF MSCI ITALY UCITS ETF	FR0010655720	ETFS	ETFs	Financials	Financial Services	09/05/2011	France	GBX	MAIN MARKET		ETFS	ETEU
CS1	AMUNDI ETF	AMUNDI ETF MSCI SPAIN UCITS ETF	FR0010655746	ETFS	ETFs	Financials	Financial Services	09/05/2011	France	GBX	MAIN MARKET		ETFS	ETEU
CS5	AMUNDI ETF	AMUNDI ETF MSCI EUROPE CONSUMER STP	FR0010688168	ETFS	ETFs	Financials	Financial Services	07/06/2011	France	GBX	MAIN MARKET		ETFS	ETEU
CT5	AMUNDI ETF	AMUNDI ETF MSCI EUROPE TELECOM SERVICES	FR0010713735	ETFS	ETFs	Financials	Financial Services	07/06/2011	France	GBX	MAIN MARKET		ETFS	ETEU
CU5	AMUNDI ETF	AMUNDI ETF MSCI EUROPE UTILITIES	FR0010688234	ETFS	ETFs	Financials	Financial Services	07/06/2011	France	GBX	MAIN MARKET		ETFS	ETEU
CUK	AMUNDI ETF	AMUNDI ETF MSCI UK UCITS ETF	FR0010655761	ETFS	ETFs	Financials	Financial Services	09/05/2011	France	GBX	MAIN MARKET		ETFS	ETEU
EPRA	AMUNDI ETF	AMUNDI INDEX FTSE EPRA NAREIT GLOBAL DR	LU1437018838	ETFS	ETFs	Financials	Financial Services	29/06/2017	France	GBX	MAIN MARKET		ETFS	ETEU
ESM	AMUNDI ETF	AMUNDI ETF EURO STOXX SMALL CAP	FR0010900076	ETFS	ETFs	Financials	Financial Services	07/06/2011	France	GBX	MAIN MARKET		ETFS	ETEU
GAGG	AMUNDI ETF	AMUNDI INDEX BARCLAYS GLOBAL AGG 500M DR	LU1437024729	ETFS	ETFs	Financials	Financial Services	29/06/2017	France	GBX	MAIN MARKET		ETFS	ETEN
GGOV	AMUNDI ETF	AMUNDI J.P. MORGAN GLOBAL GOVIES DR	LU1437016204	ETFS	ETFs	Financials	Financial Services	29/06/2017	France	GBX	MAIN MARKET		ETFS	ETEU
MWRD	AMUNDI ETF	AMUNDI INDEX MSCI WORLD DR	LU1437016972	ETFS	ETFs	Financials	Financial Services	29/06/2017	France	GBX	MAIN MARKET		ETFS	ETEU
NRAM	AMUNDI ETF	AMUNDI INDEX MSCI NORTH AMERICA DR	LU1437016543	ETFS	ETFs	Financials	Financial Services	29/06/2017	France	GBX	MAIN MARKET		ETFS	ETEU
500G	AMUNDI INDEX SOLUTIONS	AMUNDI S&P 500	LU1681049018	ETFS	ETFs			22/03/2018	Luxembourg	GBX	MAIN MARKET		ETF2	EFEU
