34NF	PJSC ACRON	GDR (10 GDRS REPR 1 ORD) (144A)	US00501T1007	DPRS	Basic Materials	Chemicals	12/08/2008	Russian Federation	USD	MAIN MARKET	Standard GDRs	MISC	INTM
AKRN	PJSC ACRON	GDR (10 GDRS REPR 1 ORD) (REG S)	US00501T2096	DPRS	Basic Materials	Chemicals	07/08/2008	Russian Federation	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
TRCN	PJSC CENTER FOR CARGO CONTAINER TRAFFIC TRANSCONTAINER	GDR (EACH REPR 0.1 ORD) (REG S)	US8935561006	DPRS	Industrials	Industrial Goods & Services	11/11/2010	Russian Federation	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
81JK	PJSC GAZPROM	ADS (REPR 10 ORD)(144A)	US3682871088	DPRS	Oil & Gas	Oil & Gas	16/09/1999	Russian Federation	USD	MAIN MARKET	Standard GDRs	MISC	INTM
OGZD	PJSC GAZPROM	LEVEL 1 ADS (REPR 2 ORD)	US3682872078	DPRS	Oil & Gas	Oil & Gas	27/09/2004	Russian Federation	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
54UD	PJSC LSR GROUP	GDR (EACH REPR 1/5 ORD SHR) (144A)	US50218G1076	DPRS	Industrials	Construction & Materials	16/11/2007	Russian Federation	USD	MAIN MARKET	Standard GDRs	MISC	INTM
LSRG	PJSC LSR GROUP	GDR (EACH REPR 1/5 ORD SHR) (REG S)	US50218G2066	DPRS	Industrials	Construction & Materials	09/11/2007	Russian Federation	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
LKOD	PJSC LUKOIL 	ADR (EACH REPR 1 ORD RUB0.025)	US69343P1057	DPRS	Oil & Gas	Oil & Gas	20/10/2015	Russian Federation	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
LKOE	PJSC LUKOIL 	GDR (REPR 1 ORD SHS RUB0.025)(144A)	US69343P2048	DPRS	Oil & Gas	Oil & Gas	20/10/2015	Russian Federation	USD	MAIN MARKET	Standard GDRs	MISC	INTM
50XD	PJSC MAGNIT	GDR (5 GDRS REPR 1 ORD) (144A)	US55953Q1031	DPRS	Consumer Services	Retail	19/04/2008	Russian Federation	USD	MAIN MARKET	Standard GDRs	MISC	INTM
MGNT	PJSC MAGNIT	GDR (5 GDRS REPR 1 ORD) (REG S)	US55953Q2021	DPRS	Consumer Services	Retail	16/04/2008	Russian Federation	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
42CL	PJSC MAGNITOGORSK IRON & STEEL WORKS	GDR (EACH REPR 13 ORD RUB1) (144A)	US5591891057	DPRS	Basic Materials	Basic Resources	27/04/2007	Russian Federation	USD	MAIN MARKET	Standard GDRs	MISC	INTM
MMK	PJSC MAGNITOGORSK IRON & STEEL WORKS	GDR (EACH REPR 13 ORD RUB1) (REG S)	US5591892048	DPRS	Basic Materials	Basic Resources	24/04/2007	Russian Federation	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
17GK	PJSC MEGAFON	GDR (EACH REPR 1 ORD) (144A)	US58517T1007	DPRS	Telecommunications	Telecommunications	28/11/2012	Russian Federation	USD	MAIN MARKET	Standard GDRs	MISC	INTM
MFON	PJSC MEGAFON	GDR (EACH REPR 1 ORD) (REG S)	US58517T2096	DPRS	Telecommunications	Telecommunications	28/11/2012	Russian Federation	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
MNOD	PJSC MMC NORILSK NICKEL	ADR (10 ADRS EACH REP 1 ORD)	US55315J1025	DPRS	Basic Materials	Basic Resources	21/09/2015	Russian Federation	USD	ADMISSION TO TRADING ONLY		IOBE	INHE
10NC	PJSC PHOSAGRO	GDR (3 GDRS REPR 1 ORD) (144A)	US71922G1004	DPRS	Basic Materials	Chemicals	16/07/2011	Russian Federation	USD	MAIN MARKET	Standard GDRs	MISC	INTM
PHOR	PJSC PHOSAGRO	GDR (3 GDR REPR 1 ORD) (REGS)	US71922G2093	DPRS	Basic Materials	Chemicals	16/07/2011	Russian Federation	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
92XY	PJSC RUSHYDRO	GDR (EACH REPR 100 ORD) (144A)	US7821835037	DPRS	Utilities	Utilities	11/09/2015	Russian Federation	USD	MAIN MARKET	Standard GDRs	MISC	INTM
HYDR	PJSC RUSHYDRO	ADR (EACH REPR 100 ORD)	US7821834048	DPRS	Utilities	Utilities	11/09/2015	Russian Federation	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
ATAD	PJSC TATNEFT	ADS (REPR 6 ORD RUB0.10)	US8766292051	DPRS	Oil & Gas	Oil & Gas	09/12/2015	Russian Federation	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
POSD	POWERCHIP TECHNOLOGY CORPORATION	GDS (EACH REPR 10 TWD10)(REG S)	US73931M7149	DPRS	Technology	Technology	28/09/2012	Taiwan	USD	ADMISSION TO TRADING ONLY		IOBU	INLN
POSE	POWERCHIP TECHNOLOGY CORPORATION	GDS (EACH REPR 10 TWD10)(144A)	US73931M7222	DPRS	Technology	Technology	28/09/2012	Taiwan	USD	ADMISSION TO TRADING ONLY		MISC	INAE
PESA	PRESS CORPORATION PLC	GDR (REPR 20 ORD MWK)(144A)	US74111E2090	DPRS	Industrials	Industrial Goods & Services	20/07/1998	Malawi	USD	PROFESSIONAL SECURITIES MARKET	Standard GDRs	MISC	INPE
PESD	PRESS CORPORATION PLC	GDR (REPR 20 ORD MWK1)(REG S)	US74111E1001	DPRS	Industrials	Industrial Goods & Services	27/09/2004	Malawi	USD	PROFESSIONAL SECURITIES MARKET	Standard GDRs	IOBU	IPLN
PRND	PROMOS TECHNOLOGIES INC	GDS(REPR 10 COM SHS TWD10)(REG S)	US74343C8727	DPRS	Technology	Technology	28/10/2010	Taiwan	USD	ADMISSION TO TRADING ONLY		IOBU	INLN
GAZ	PUBLIC JOINT STOCK COMPANY GAZPROM NEFT	LEVEL 1 ADR	US36829G1076	DPRS	Oil & Gas	Oil & Gas	12/06/2006	Russian Federation	USD	ADMISSION TO TRADING ONLY		IOBE	INHE
71FG	PUBLIC JOINT STOCK COMPANY NOVOROSSIYSK COMMERCIAL SEA PORT	GDR (EACH REPR 75 ORD SHS) (144A)	US67011U1097	DPRS	Industrials	Industrial Goods & Services	07/11/2007	Russian Federation	USD	MAIN MARKET	Standard GDRs	MISC	INTM
NCSP	PUBLIC JOINT STOCK COMPANY NOVOROSSIYSK COMMERCIAL SEA PORT	GDR(EACH REPR 75 ORD SHS)(REG S)	US67011U2087	DPRS	Industrials	Industrial Goods & Services	02/11/2007	Russian Federation	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
PLZA	PUBLIC JOINT STOCK COMPANY POLYUS	GDR (EACH REPR 0.5 SHS) (144A)	US73181M1099	DPRS	Basic Materials	Basic Resources	05/07/2017	Russian Federation	USD	MAIN MARKET	Standard GDRs	MISC	INTM
PLZB	PUBLIC JOINT STOCK COMPANY POLYUS	LEVEL 1 ADS (EACH REPR 0.5 SHS)	US73181P1021	DPRS	Basic Materials	Basic Resources	05/07/2017	Russian Federation	USD	MAIN MARKET	Standard GDRs	IOBU	LLLU
PLZL	PUBLIC JOINT STOCK COMPANY POLYUS	GDR (EACH REPR 0.5 SHS) (REG S)	US73181M1172	DPRS	Basic Materials	Basic Resources	05/07/2017	Russian Federation	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
